"Topic: Living Arrangements",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Household population","Group quarters population","Average household size"
"Mattapan","1990","23345","693","3.01459194214876"
"Mattapan","2000","24085","215","2.88962207558488"
"Mattapan","2010","22125","375","2.6500179662235"
"Mattapan","2020","23492","348","2.66349206349206"
"Mattapan","2025","24076","348","2.62477664432837"
"Mission Hill","1950","20261","604","3.71216562843532"
"Mission Hill","1960","15642","2211","2.93525989866767"
"Mission Hill","1970","13075","2546","2.41592756836659"
"Mission Hill","1980","11268","1954","2.28097165991903"
"Mission Hill","1990","13190","1564","2.35577781746741"
"Mission Hill","2000","12054","1658","2.20971585701192"
"Mission Hill","2010","14143","1747","2.3090612244898"
"Mission Hill","2020","16693","2108","2.50351222705459"
"Mission Hill","2025","16892","2108","2.44301923740255"
"North End","1950","16346","0","3.61157755192223"
"North End","1960","11774","162","2.91941482767171"
"North End","1970","10290","124","2.54074074074074"
"North End","1980","8774","670","1.85968630775752"
"North End","1990","9060","178","1.65660998354361"
"North End","2000","9178","309","1.5696938600992"
"North End","2010","9756","381","1.6085737840066"
"North End","2020","10860","189","1.71998728191321"
"North End","2025","10446","189","1.66178741505933"
"Roslindale","1950","30939","1235","3.6575245300863"
"Roslindale","1960","31552","1346","3.42993803674312"
"Roslindale","1970","33473","836","3.18547773125238"
"Roslindale","1980","28481","835","2.73330134357006"
"Roslindale","1990","27845","915","2.60720973782772"
"Roslindale","2000","29124","1113","2.57324615656476"
"Roslindale","2010","28061","407","2.48900124179528"
"Roslindale","2020","29168","504","2.4968715288478"
"Roslindale","2025","28874","504","2.43274373421928"
"Roxbury","1950","101922","831","3.62595609946992"
"Roxbury","1960","71238","1974","3.09380700078172"
"Roxbury","1970","48820","1868","2.99601104633323"
"Roxbury","1980","42560","1067","2.67976325399824"
"Roxbury","1990","43345","749","2.67083615749584"
"Roxbury","2000","40501","2074","2.56481540117789"
"Roxbury","2010","44922","4430","2.47095709570957"
"Roxbury","2020","50859","5069","2.54080803062397"
"Roxbury","2025","51733","5068","2.49351486905671"
"South Boston","1950","54978","1","3.75943654266958"
"South Boston","1960","43172","375","3.18800767981096"
"South Boston","1970","37292","853","2.8134288947567"
"South Boston","1980","29323","802","2.34471453702223"
"South Boston","1990","28210","900","2.18157915087774"
"South Boston","2000","29019","488","2.10115125624502"
"South Boston","2010","31332","453","2.05361473422036"
