"Topic: Poverty Status",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1980, 1990, 2000, 2010, 2020, 2025",,,,
"Roxbury","2010","15626","28232","0.356286196360983"
"Roxbury","2020","15467","36790","0.295983428339391"
"Roxbury","2025","14561","37753","0.278344351986084"
"South Boston","1980","5924","23555","0.200956613182265"
"South Boston","1990","4963","23665","0.17336174374738"
"South Boston","2000","5043","23986","0.173722828895243"
"South Boston","2010","6013","26339","0.185861770524233"
"South Boston","2020","4246","35366","0.107201150525226"
"South Boston","2025","4985","35683","0.122586703034327"
"South Boston Waterfront","1980","41","153","0.211340206185567"
"South Boston Waterfront","1990","57","241","0.191275167785235"
"South Boston Waterfront","2000","34","345","0.0897097625329815"
"South Boston Waterfront","2010","103","1455","0.0661103979460847"
"South Boston Waterfront","2020","192","5868","0.0316527488504999"
"South Boston Waterfront","2025","226","8003","0.0274858716733503"
"South End","1980","4607","17133","0.211913523459062"
"South End","1990","4951","18764","0.208770820156019"
"South End","2000","5186","18786","0.216335725012515"
"South End","2010","6412","22085","0.225006140997298"
"South End","2020","6394","26136","0.196571013483711"
"South End","2025","6578","27992","0.190280719033844"
"West End","1980","540","3486","0.134128166915052"
"West End","1990","424","2960","0.125295508274232"
"West End","2000","439","3521","0.110858585858586"
"West End","2010","564","3911","0.126033519553073"
"West End","2020","1011","7364","0.120748606124258"
"West End","2025","981","7845","0.111165580330841"
"West Roxbury","1980","1562","29233","0.0507225198895925"
"West Roxbury","1990","1437","27686","0.0493424441163342"
"West Roxbury","2000","1786","26178","0.0638678300672293"
"West Roxbury","2010","1641","28285","0.0548352603087616"
"West Roxbury","2020","1936","29171","0.0622492131458469"
"West Roxbury","2025","2092","29128","0.0670225249199231"
