"Topic: Poverty Status",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1980-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Below poverty line","Above poverty line","Share of population below poverty line"
"Allston","1980","4916","13018","0.274116203858593"
"Allston","1990","5180","15408","0.251602875461434"
"Allston","2000","6581","14116","0.317968787747016"
"Allston","2010","7020","13254","0.346256288842853"
"Allston","2020","6578","17669","0.271301002113794"
"Allston","2025","7353","19036","0.278624984099435"
"Back Bay","1980","2358","13096","0.152581855830206"
"Back Bay","1990","1885","12827","0.128126699293094"
"Back Bay","2000","1589","13207","0.107393890240606"
"Back Bay","2010","1818","13513","0.118583262670406"
"Back Bay","2020","3188","14932","0.175915742326141"
"Back Bay","2025","2265","14985","0.131306766463768"
"Beacon Hill","1980","1826","8503","0.17678381256656"
"Beacon Hill","1990","910","8128","0.100685992476212"
"Beacon Hill","2000","707","8059","0.0806525211042665"
"Beacon Hill","2010","933","8557","0.0983140147523709"
"Beacon Hill","2020","782","8668","0.0827566319374697"
"Beacon Hill","2025","879","8482","0.0938803273154578"
"Brighton","1980","8451","33833","0.199862832276984"
"Brighton","1990","8117","37378","0.178415210462688"
"Brighton","2000","8670","36820","0.190591338755771"
"Brighton","2010","8428","32024","0.208345693661624"
"Brighton","2020","9401","40749","0.187452555791097"
"Brighton","2025","10059","42574","0.191117106815116"
"Charlestown","1980","2400","10870","0.180859080633007"
"Charlestown","1990","1838","12690","0.126514317180617"
"Charlestown","2000","2658","12527","0.175041159038525"
"Charlestown","2010","3275","13602","0.194051075428097"
"Charlestown","2020","1750","17600","0.0904484091863353"
"Charlestown","2025","1324","18022","0.068461958751163"
"Chinatown","1980","641","2317","0.216700473292765"
"Chinatown","1990","830","1887","0.305483989694516"
"Chinatown","2000","846","1579","0.348865979381443"
"Chinatown","2010","983","2042","0.32495867768595"
"Chinatown","2020","2227","4228","0.345004563904518"
"Chinatown","2025","1596","4316","0.269967351150203"
"Dorchester","1980","25436","82012","0.236728464001191"
"Dorchester","1990","22267","88427","0.201158147686415"
"Dorchester","2000","25032","92777","0.212479521938052"
"Dorchester","2010","26090","91144","0.222546360270911"
"Dorchester","2020","24762","98271","0.201260734007696"
"Dorchester","2025","24193","97267","0.199187402439486"
"Downtown","1980","627","3676","0.145712293748548"
"Downtown","1990","1008","3536","0.221830985915493"
"Downtown","2000","1572","4442","0.261390089790489"
"Downtown","2010","1983","6737","0.227408256880734"
"Downtown","2020","2268","8850","0.203960830227746"
"Downtown","2025","2764","9164","0.231724336938296"
"East Boston","1980","5308","26438","0.167202167202167"
"East Boston","1990","6313","26373","0.193140794223827"
"East Boston","2000","7436","30624","0.195375722543353"
"East Boston","2010","6350","35135","0.153067373749548"
"East Boston","2020","6667","37242","0.151836353654722"
"East Boston","2025","7206","39601","0.153954006065332"
"Fenway","1980","6083","10968","0.356753269602956"
"Fenway","1990","7188","12518","0.364762001420887"
"Fenway","2000","6697","12677","0.345669453907298"
"Fenway","2010","8276","10683","0.436520913550293"
"Fenway","2020","8967","16584","0.350931459201766"
"Fenway","2025","9206","16651","0.356036184205438"
"Hyde Park","1980","2879","27118","0.095976264293096"
"Hyde Park","1990","2254","27756","0.0751082972342552"
"Hyde Park","2000","3607","28053","0.113929248262792"
"Hyde Park","2010","3412","29739","0.102922988748454"
"Hyde Park","2020","3463","30269","0.102672696074328"
"Hyde Park","2025","2867","30767","0.0852449136350122"
"Jamaica Plain","1980","8180","27831","0.227152814417817"
"Jamaica Plain","1990","7119","30325","0.190123918384788"
"Jamaica Plain","2000","6515","29056","0.183154817126311"
"Jamaica Plain","2010","7707","29554","0.206838249107646"
"Jamaica Plain","2020","5584","35075","0.137341553470087"
"Jamaica Plain","2025","5771","36449","0.136694102226433"
"Longwood","1980","381","678","0.359773371104816"
"Longwood","1990","349","717","0.327392120075047"
"Longwood","2000","857","635","0.574396782841823"
"Longwood","2010","163","296","0.355119825708061"
"Longwood","2020","107","358","0.230705590328334"
"Longwood","2025","119","435","0.215584467509025"
"Mattapan","1980","3775","18300","0.171007927519819"
"Mattapan","1990","4198","19084","0.180310969847951"
"Mattapan","2000","3905","20186","0.162093727948196"
"Mattapan","2010","4955","18302","0.213054134239154"
"Mattapan","2020","4123","18976","0.178478046449127"
"Mattapan","2025","3776","20085","0.158257060978165"
"Mission Hill","1980","3794","7858","0.325609337452798"
"Mission Hill","1990","3595","9689","0.270626317374285"
"Mission Hill","2000","4146","8008","0.341122264275136"
"Mission Hill","2010","5594","7876","0.415293244246474"
"Mission Hill","2020","7585","10403","0.421668396309966"
"Mission Hill","2025","6290","10907","0.365747612839449"
"North End","1980","1207","7575","0.137440218629014"
"North End","1990","1065","8052","0.116814741691346"
"North End","2000","841","8465","0.0903718031377606"
"North End","2010","1639","8933","0.155032160423761"
"North End","2020","1274","9588","0.117323035817099"
"North End","2025","1050","9432","0.100137122972715"
"Roslindale","1980","3172","25374","0.111118895817277"
"Roslindale","1990","2557","25408","0.0914357232254604"
"Roslindale","2000","3424","25882","0.116836142769399"
"Roslindale","2010","3847","25460","0.131265567953049"
"Roslindale","2020","2848","25843","0.0992660168241715"
"Roslindale","2025","2721","26079","0.0944636779861111"
"Roxbury","1980","12648","29918","0.297138561293051"
"Roxbury","1990","13358","30054","0.307702939279462"
"Roxbury","2000","11113","29456","0.273928368951663"
