"Topic: Housing Vacancy",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Occupied","Vacant","Housing vacancy rate"
"Mattapan","2000","8335","328","0.0378621724575782"
"Mattapan","2010","8349","763","0.0837357330992098"
"Mattapan","2020","8820","525","0.0561797752808989"
"Mattapan","2025","9173","690","0.07"
"Mission Hill","1950","5458","68","0.0123054650741947"
"Mission Hill","1960","5330","389","0.0680188844203532"
"Mission Hill","1970","5412","512","0.0864280891289669"
"Mission Hill","1980","4940","1374","0.217611656636047"
"Mission Hill","1990","5600","505","0.0827190827190827"
"Mission Hill","2000","5455","174","0.0309113519275182"
"Mission Hill","2010","6125","237","0.0372524363407733"
"Mission Hill","2020","6668","287","0.0412652767792955"
"Mission Hill","2025","6914","281","0.039"
"North End","1950","4526","106","0.0228842832469775"
"North End","1960","4034","337","0.0770990619995424"
"North End","1970","4050","265","0.0614136732329085"
"North End","1980","4718","501","0.0959954014178961"
"North End","1990","5469","632","0.10358957547943"
"North End","2000","5847","460","0.0729348343110829"
"North End","2010","6065","659","0.0980071386079714"
"North End","2020","6314","518","0.0758196721311475"
"North End","2025","6286","599","0.087"
"Roslindale","1950","8459","91","0.0106432748538012"
"Roslindale","1960","9199","158","0.0168857539809768"
"Roslindale","1970","10508","215","0.0200503590413131"
"Roslindale","1980","10420","444","0.0408689248895434"
"Roslindale","1990","10680","662","0.0583671310174572"
"Roslindale","2000","11318","366","0.031324888736734"
"Roslindale","2010","11273","769","0.0638598239495101"
"Roslindale","2020","11682","595","0.0484646086177405"
"Roslindale","2025","11869","704","0.056"
"Roxbury","1950","28110","498","0.0174077181208054"
"Roxbury","1960","23026","2723","0.105751679676881"
"Roxbury","1970","16295","2308","0.124066010858464"
"Roxbury","1980","15882","2685","0.144611407335595"
"Roxbury","1990","16229","2175","0.118180830254293"
"Roxbury","2000","15791","1641","0.0941372189077559"
"Roxbury","2010","18180","1563","0.0791672998024616"
"Roxbury","2020","20017","1662","0.0766640527699617"
"Roxbury","2025","20747","1755","0.078"
"South Boston","1950","14624","338","0.0225905627589894"
"South Boston","1960","13542","859","0.0596486355114228"
"South Boston","1970","13255","855","0.0605953224663359"
"South Boston","1980","12506","1407","0.101128441026378"
"South Boston","1990","12932","1653","0.113335618786424"
"South Boston","2000","13812","973","0.0658099425093"
"South Boston","2010","15258","1277","0.0772301179316601"
"South Boston","2020","17961","1179","0.0615987460815047"
"South Boston","2025","18854","1397","0.069"
"South Boston Waterfront","1950","196","15","0.0710900473933649"
"South Boston Waterfront","1960","130","20","0.133333333333333"
"South Boston Waterfront","1970","108","19","0.149606299212598"
"South Boston Waterfront","1980","83","24","0.224299065420561"
"South Boston Waterfront","1990","136","49","0.264864864864865"
"South Boston Waterfront","2000","218","19","0.080168776371308"
"South Boston Waterfront","2010","956","125","0.115633672525439"
"South Boston Waterfront","2020","3623","998","0.215970569140879"
"South Boston Waterfront","2025","4682","932","0.166"
"South End","1950","11308","413","0.0352359013736029"
"South End","1960","15490","2852","0.155490131937629"
"South End","1970","8162","1483","0.153758424053914"
"South End","1980","10053","1430","0.124531916746495"
"South End","1990","11235","1587","0.123771642489471"
"South End","2000","12703","784","0.0581300511603767"
"South End","2010","14423","979","0.0635631736138164"
"South End","2020","16152","1446","0.0821684282304807"
"South End","2025","17811","1403","0.073"
"West End","1950","3789","138","0.0351413292589763"
"West End","1960","745","49","0.0617128463476071"
"West End","1970","1808","277","0.132853717026379"
"West End","1980","2296","84","0.0352941176470588"
"West End","1990","2133","236","0.0996200928661883"
"West End","2000","2457","185","0.0700227100681302"
"West End","2010","2882","379","0.116222017785955"
"West End","2020","4572","671","0.127980164028228"
"West End","2025","5014","697","0.122"
"West Roxbury","1950","7266","116","0.0157138986724465"
"West Roxbury","1960","8544","141","0.0162348877374784"
"West Roxbury","1970","10606","115","0.0107266113235706"
"West Roxbury","1980","12055","226","0.0184024102271802"
"West Roxbury","1990","12405","545","0.0420849420849421"
"West Roxbury","2000","12083","314","0.0253287085585222"
"West Roxbury","2010","12960","586","0.0432600029529012"
"West Roxbury","2020","13323","667","0.0476769120800572"
"West Roxbury","2025","13917","671","0.046"
