"Topic: Housing Units",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2021, 2022, 2023, 2024, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2020 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; for years beyond 2020, data are based on 2020 Census plus annual housing completions from Mayor's Office of Housing",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Occupied","Vacant","Total housing units"
"Allston","1950","6408","83","6491"
"Allston","1960","6779","319","7098"
"Allston","1970","7437","321","7758"
"Allston","1980","8397","641","9038"
"Allston","1990","8869","512","9381"
"Allston","2000","9163","131","9294"
"Allston","2010","9606","343","9949"
"Allston","2020","10027","721","10748"
"Allston","2021","10071","724","10795"
"Allston","2022","10268","740","11008"
"Allston","2023","10383","750","11133"
"Allston","2024","10781","774","11555"
"Allston","2025","11158","600","11758"
"Back Bay","1950","6356","233","6589"
"Back Bay","1960","8741","637","9378"
"Back Bay","1970","9206","782","9988"
"Back Bay","1980","10043","1051","11094"
"Back Bay","1990","9670","1230","10900"
"Back Bay","2000","10053","739","10792"
"Back Bay","2010","9829","1510","11339"
"Back Bay","2020","10006","1518","11524"
"Back Bay","2021","9998","1517","11515"
"Back Bay","2022","10005","1519","11524"
"Back Bay","2023","9989","1517","11506"
"Back Bay","2024","10172","1551","11723"
"Back Bay","2025","10166","1546","11712"
"Beacon Hill","1950","4532","178","4710"
"Beacon Hill","1960","6097","488","6585"
"Beacon Hill","1970","6084","461","6545"
"Beacon Hill","1980","5965","496","6461"
"Beacon Hill","1990","5534","687","6221"
"Beacon Hill","2000","5620","427","6047"
"Beacon Hill","2010","5450","563","6013"
"Beacon Hill","2020","5483","552","6035"
"Beacon Hill","2021","5539","556","6095"
"Beacon Hill","2022","5526","554","6080"
"Beacon Hill","2023","5520","553","6073"
"Beacon Hill","2024","5516","553","6069"
"Beacon Hill","2025","5511","565","6076"
"Brighton","1950","14707","178","14885"
"Brighton","1960","15958","470","16428"
"Brighton","1970","17109","457","17566"
"Brighton","1980","19730","783","20513"
"Brighton","1990","20558","923","21481"
"Brighton","2000","21342","352","21694"
"Brighton","2010","21004","959","21963"
"Brighton","2020","22535","1118","23653"
"Brighton","2021","22685","1140","23825"
"Brighton","2022","23220","1207","24427"
"Brighton","2023","23515","1223","24738"
"Brighton","2024","24008","1277","25285"
"Brighton","2025","24644","1161","25805"
"Charlestown","1950","6738","219","6957"
"Charlestown","1960","5978","465","6443"
"Charlestown","1970","4818","301","5119"
"Charlestown","1980","5252","870","6122"
"Charlestown","1990","6841","911","7752"
"Charlestown","2000","7350","405","7755"
"Charlestown","2010","8033","615","8648"
"Charlestown","2020","8932","593","9525"
"Charlestown","2021","8954","596","9550"
"Charlestown","2022","9054","602","9656"
"Charlestown","2023","9059","604","9663"
"Charlestown","2024","9047","603","9650"
"Charlestown","2025","9010","647","9657"
"Chinatown","1950","606","23","629"
"Chinatown","1960","973","103","1076"
"Chinatown","1970","656","99","755"
"Chinatown","1980","1144","128","1272"
"Chinatown","1990","1219","145","1364"
"Chinatown","2000","1126","58","1184"
"Chinatown","2010","1478","205","1683"
"Chinatown","2020","2937","335","3272"
"Chinatown","2021","2937","335","3272"
"Chinatown","2022","2937","335","3272"
"Chinatown","2023","3086","353","3439"
"Chinatown","2024","3088","353","3441"
"Chinatown","2025","3063","386","3449"
"Dorchester","1950","43452","445","43897"
"Dorchester","1960","44298","1572","45870"
"Dorchester","1970","43208","2992","46200"
"Dorchester","1980","36834","5167","42001"
"Dorchester","1990","37745","4116","41861"
"Dorchester","2000","40589","2368","42957"
"Dorchester","2010","41237","3903","45140"
"Dorchester","2020","44823","3142","47965"
"Dorchester","2021","44948","3150","48098"
"Dorchester","2022","45266","3169","48435"
"Dorchester","2023","45437","3183","48620"
"Dorchester","2024","46073","3228","49301"
"Dorchester","2025","45798","3767","49565"
"Downtown","1950","774","38","812"
"Downtown","1960","1864","235","2099"
"Downtown","1970","1014","126","1140"
"Downtown","1980","2257","211","2468"
"Downtown","1990","2518","471","2989"
"Downtown","2000","3222","285","3507"
"Downtown","2010","4623","798","5421"
"Downtown","2020","5384","1220","6604"
"Downtown","2021","5657","1335","6992"
"Downtown","2022","5696","1352","7048"
"Downtown","2023","5696","1352","7048"
"Downtown","2024","5979","1396","7375"
"Downtown","2025","6152","1224","7376"
"East Boston","1950","13688","255","13943"
"East Boston","1960","13294","696","13990"
"East Boston","1970","12853","856","13709"
"East Boston","1980","12955","1608","14563"
"East Boston","1990","13417","1393","14810"
"East Boston","2000","14326","752","15078"
"East Boston","2010","14651","1203","15854"
"East Boston","2020","16664","1316","17980"
"East Boston","2021","16765","1329","18094"
"East Boston","2022","17202","1377","18579"
"East Boston","2023","17705","1412","19117"
"East Boston","2024","17855","1421","19276"
"East Boston","2025","18268","1481","19749"
"Fenway","1950","9800","152","9952"
"Fenway","1960","10468","672","11140"
"Fenway","1970","10793","865","11658"
"Fenway","1980","10564","928","11492"
"Fenway","1990","11381","1316","12697"
"Fenway","2000","11857","443","12300"
"Fenway","2010","12883","669","13552"
"Fenway","2020","13272","1352","14624"
"Fenway","2021","13553","1393","14946"
"Fenway","2022","13578","1396","14974"
"Fenway","2023","14001","1426","15427"
"Fenway","2024","14001","1426","15427"
"Fenway","2025","14674","1121","15795"
"Hyde Park","1950","6732","106","6838"
"Hyde Park","1960","8106","210","8316"
