"Topic: Labor Force",,,,,,
"Geographic Extent: City of Boston",,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,,,
,,,,,,
"Source: U.S. Census Bureau, 1950-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,
"Download type: geographically disaggregated",,,,,,
,,,,,,
"GEOID","YEAR","Male in labor force","Male not in labor force","Female in labor force","Female not in labor force","Female labor force participation rate (16+)"
"Hyde Park","2010","9311","3272","10679","4343","0.710890693649314"
"Hyde Park","2020","8320","4363","12277","5891","0.675758888781622"
"Hyde Park","2025","8065","4760","10350","4918","0.677910420027684"
"Jamaica Plain","1950","13725","4735","7252","15329","0.321154953279306"
"Jamaica Plain","1960","12468","4521","8341","12830","0.393982334325256"
"Jamaica Plain","1970","10068","4390","8201","10640","0.435274136192347"
"Jamaica Plain","1980","9090","4057","8254","8262","0.499757810607895"
"Jamaica Plain","1990","11024","2937","10652","6315","0.627806919313962"
"Jamaica Plain","2000","9595","4148","10228","6020","0.629492860659774"
"Jamaica Plain","2010","12061","3097","12540","4329","0.743375422372399"
"Jamaica Plain","2020","12021","3831","15807","6694","0.70249673355158"
"Jamaica Plain","2025","12837","4273","15183","5602","0.7304751791302"
"Longwood","1950","469","402","547","968","0.361056105610561"
"Longwood","1960","659","206","1092","953","0.53398533007335"
"Longwood","1970","435","588","1029","1355","0.431627516778524"
"Longwood","1980","479","391","1160","773","0.600103466114847"
"Longwood","1990","417","396","969","578","0.626373626373626"
"Longwood","2000","848","681","1298","744","0.635651322233105"
"Longwood","2010","621","1009","1695","1566","0.519779208831647"
"Longwood","2020","945","1028","2136","1411","0.602154875085321"
"Longwood","2025","942","996","2054","1513","0.575867980106189"
"Mattapan","1950","6936","2008","2584","7062","0.267883060335891"
"Mattapan","1960","6906","1970","3373","6366","0.346339459903481"
"Mattapan","1970","6485","2162","5015","5585","0.47311320754717"
"Mattapan","1980","5301","2143","5680","3562","0.614585587535166"
"Mattapan","1990","6157","2206","6601","3180","0.674879869134035"
"Mattapan","2000","5051","2715","5877","4199","0.583267169511711"
"Mattapan","2010","5900","2479","7057","3401","0.674794415758271"
"Mattapan","2020","5790","2272","9022","4143","0.685307048047626"
"Mattapan","2025","6233","2312","7278","3928","0.649480184591613"
"Mission Hill","1950","4839","1784","3665","5893","0.383448420171584"
"Mission Hill","1960","3903","1533","3809","4576","0.454263565891473"
"Mission Hill","1970","3303","1745","3669","3866","0.486927670869277"
"Mission Hill","1980","2960","1593","3270","2994","0.522030651340996"
"Mission Hill","1990","3858","1819","3571","2783","0.562008183821215"
"Mission Hill","2000","3649","2227","3596","2576","0.582631237848347"
"Mission Hill","2010","4554","2215","3691","2764","0.571804802478699"
"Mission Hill","2020","4543","3470","6108","3579","0.630532397451405"
"Mission Hill","2025","4911","3590","5958","3191","0.651220244528553"
"North End","1950","5572","1445","2093","3912","0.348542880932556"
"North End","1960","3472","1272","1741","2914","0.374006444683136"
"North End","1970","2980","1120","2030","2249","0.47440990885721"
"North End","1980","3246","959","2894","1499","0.658775324379695"
"North End","1990","3002","864","3529","1421","0.712929292929293"
"North End","2000","3539","709","3690","1173","0.758790869833436"
"North End","2010","4059","896","4165","1084","0.793484473232997"
"North End","2020","3968","709","4872","1135","0.811121268434688"
"North End","2025","3960","712","4551","1023","0.816448514221296"
"Roslindale","1950","8870","2968","4218","9490","0.307703530784943"
"Roslindale","1960","8750","2587","5002","8454","0.371730083234245"
"Roslindale","1970","8665","2506","6485","7445","0.465541995692749"
"Roslindale","1980","7611","2863","6302","6765","0.482283615213898"
"Roslindale","1990","8017","2439","7681","5149","0.598674980514419"
"Roslindale","2000","7523","3461","8015","5160","0.608349146110057"
"Roslindale","2010","8057","2929","9614","3671","0.723673315769665"
"Roslindale","2020","7969","2642","11030","4981","0.688908870328714"
"Roslindale","2025","8250","2766","9323","4414","0.678680570219428"
"Roxbury","1950","27442","9115","14007","27404","0.338243461882109"
"Roxbury","1960","17744","5801","12671","15640","0.447564550881283"
"Roxbury","1970","9259","4561","8185","10785","0.431470743278861"
"Roxbury","1980","8296","4949","8544","9641","0.469837778388782"
"Roxbury","1990","9438","4688","9147","8931","0.505974112180551"
"Roxbury","2000","8165","6505","9084","7670","0.542198877879909"
"Roxbury","2010","9809","6992","12155","7922","0.605419136325148"
"Roxbury","2020","11636","8083","18027","12203","0.596343224532194"
"Roxbury","2025","13413","8000","15903","10290","0.607133875764794"
"South Boston","1950","15216","4378","6859","13536","0.336307918607502"
"South Boston","1960","10795","3679","6037","10540","0.364179284550884"
"South Boston","1970","8885","3188","6445","8871","0.420801775920606"
"South Boston","1980","7143","3737","5625","7842","0.417687680997995"
"South Boston","1990","7977","3337","7241","5787","0.555802886091495"
"South Boston","2000","7869","3304","7897","5558","0.586919360832404"
"South Boston","2010","9862","2814","11619","4328","0.728600990781965"
"South Boston","2020","13600","3083","16894","4049","0.806676100152396"
"South Boston","2025","14360","3351","15802","3987","0.798525152479409"
"South Boston Waterfront","1950","184","63","95","158","0.375494071146245"
"South Boston Waterfront","1960","96","44","48","98","0.328767123287671"
"South Boston Waterfront","1970","74","27","55","58","0.486725663716814"
"South Boston Waterfront","1980","59","35","34","37","0.47887323943662"
"South Boston Waterfront","1990","131","18","90","37","0.708661417322835"
"South Boston Waterfront","2000","152","38","118","57","0.674285714285714"
"South Boston Waterfront","2010","748","112","587","123","0.826760563380282"
"South Boston Waterfront","2020","2623","219","2581","465","0.847258550197316"
"South Boston Waterfront","2025","3577","423","3111","690","0.818445588512337"
"South End","1950","14583","6105","7985","10537","0.431108951517115"
"South End","1960","9504","4263","5221","5783","0.47446383133406"
"South End","1970","6049","2787","3598","3973","0.475234447232862"
"South End","1980","7469","3183","4597","3696","0.554322922947064"
"South End","1990","9306","2393","6161","3038","0.669746711599087"
"South End","2000","9056","3037","5858","3676","0.614432557163835"
"South End","2010","9744","3382","7981","3902","0.671631742825886"
"South End","2020","10504","4013","10139","6206","0.620325173279187"
"South End","2025","11336","4414","10176","5608","0.644674836519514"
"West End","1950","3852","1246","1979","3094","0.390104474669821"
"West End","1960","549","346","511","385","0.5703125"
"West End","1970","1118","428","1128","472","0.705"
"West End","1980","1477","687","1253","707","0.639285714285714"
"West End","1990","1311","554","1107","558","0.664864864864865"
"West End","2000","1321","1093","1243","735","0.628412537917088"
"West End","2010","1522","1028","1611","685","0.701655052264808"
"West End","2020","2673","1230","3336","1111","0.750132690343842"
"West End","2025","3289","1049","3411","1050","0.764702037782094"
"West Roxbury","1950","7520","2219","3515","8078","0.303200207021478"
"West Roxbury","1960","8000","2254","4670","7624","0.37986009435497"
"West Roxbury","1970","8713","2781","6284","7831","0.445200141693234"
"West Roxbury","1980","8538","3173","7379","7564","0.493809810613665"
"West Roxbury","1990","8281","2803","8197","6249","0.567423508237574"
"West Roxbury","2000","7366","3159","7439","5526","0.573775549556498"
"West Roxbury","2010","8906","2877","8704","4465","0.660946161439745"
"West Roxbury","2020","8498","3309","11612","5431","0.681333384016609"
"West Roxbury","2025","8633","3429","9183","5524","0.624369361886689"
