"Topic: Apartment Rent",,,,,,,
"Geographic Extent: City of Boston",,,,,,,
"Year(s): 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,,,,
"Note: Only one neighborhood at a time can be selected. Jan 2016 and Q4 2024 listings are missing; 2017 data are suppressed (Jan-Jun missing). Neighborhoods with <5 listings in any year for a given unit type are suppressed for all years. Listings <1 SD below the city mean (rooms, parking, non-units) are excluded.",,,,,,,
"Source: Mayor's Office of Housing using Craigslist rental listings recieved from MAPC, City of Boston Planning Department Research Division analysis",,,,,,,
"Download type: geographically disaggregated",,,,,,,
,,,,,,,
"GEOID","YEAR","Studio","1-bed","2-bed","3-bed","4-bed","Studio median monthly rent (nominal dollars)"
"Longwood","2020","1700","2175","3240",,,"1700"
"Longwood","2021","1650","2050",,,,"1650"
"Longwood","2022",,,,,,
"Longwood","2023",,,,,,
"Longwood","2024",,,,,,
"Mattapan","2016","1908","1985","2029","2000",,"1907.5"
"Mattapan","2018","2058","2140","2525","2300","2500","2057.5"
"Mattapan","2019","2275","2078","2250","2400","2600","2275"
"Mattapan","2020","1495","2200","2200","2475","2650","1495"
"Mattapan","2021","1850","2175","2300","2700","3000","1850"
"Mattapan","2022",,"2238","2400","2888","3292",
"Mattapan","2023",,"2575","2635","3200","3500",
"Mattapan","2024",,"2600","2775","3000","3400",
"Mission Hill","2016","1700","1750","2295","3200","4000","1700"
"Mission Hill","2018","1800","1825","2400","3250","4000","1800"
"Mission Hill","2019","1940","1925","2500","3300","4000","1940"
"Mission Hill","2020","1650","2150","2395","3000","3500","1650"
"Mission Hill","2021","1485","1850","2400","3000","3900","1485"
"Mission Hill","2022","2195","2700","2695","3800","4345","2195"
"Mission Hill","2023","2300","2600","3000","4800","5000","2300"
"Mission Hill","2024","2350","2500","3200","3900","5455","2350"
"North End","2016","1850","2200","2750","3800","5000","1850"
"North End","2018","1900","2225","2800","3700","4950","1900"
"North End","2019","1950","2295","2895","3800","5400","1950"
"North End","2020","1800","2150","2700","3500","4200","1800"
"North End","2021","1700","2000","2595","3500","5340","1700"
"North End","2022","2200","2400","2975","3900","7000","2200"
"North End","2023","2300","2700","3300","4500","6250","2300"
"North End","2024","2600","2600","3500","4562","6700","2600"
"Roslindale","2016","1591","1600","1800","2250","2800","1591"
"Roslindale","2018","2000","1700","2000","2375","2985","2000"
"Roslindale","2019","2150","1800","2100","2600","2975","2150"
"Roslindale","2020","1950","1800","2100","2550","3200","1950"
"Roslindale","2021",,"1700","2100","2495",,
"Roslindale","2022",,"1950","2378","2800","3500",
"Roslindale","2023",,"2200","2500","3000",,
"Roslindale","2024",,"2400","2945","3150","4000",
"Roxbury","2016","2300","2500","2510","2975","3800","2300"
"Roxbury","2018","2430","2600","2600","3000","3200","2430"
"Roxbury","2019","2472","2567","2795","3150","3650","2472.5"
"Roxbury","2020","1995","1950","2395","2800","3250","1995"
"Roxbury","2021","1663","2000","2495","3000","3345","1663"
"Roxbury","2022","2200","2700","2800","3000","4400","2200"
"Roxbury","2023","2350","2650","3000","3300","3550","2350"
"Roxbury","2024","2900","2400","3300","3650","5048","2900"
"South Boston","2016","2350","2470","3000","3448","3800","2350"
"South Boston","2018","2600","2400","3100","3600","4400","2600"
"South Boston","2019","2700","2450","3000","3700","4800","2700"
"South Boston","2020","2420","2300","2950","3600","4500","2420"
"South Boston","2021","1700","2300","2800","3600","4450","1700"
"South Boston","2022","2050","2685","3375","4200","5200","2050"
"South Boston","2023","2250","2700","3388","4200","5000","2250"
"South Boston","2024","2250","2700","3490","4200","5750","2250"
"South Boston Waterfront","2016","2459","2950","3878","5222",,"2459"
"South Boston Waterfront","2018","2595","3150","4375","7300",,"2595"
"South Boston Waterfront","2019","2834","3450","4450","5900",,"2834.5"
"South Boston Waterfront","2020","2610","3072","3960","5665",,"2610"
"South Boston Waterfront","2021","2298","2470",,,,"2298"
"South Boston Waterfront","2022","3265","3866","5370","7183",,"3265"
"South Boston Waterfront","2023","3417","4157","4515",,,"3417"
"South Boston Waterfront","2024","3378","4175","4950",,,"3378"
"South End","2016","1900","2500","3200","4150","5000","1900"
"South End","2018","2430","2800","3500","4500","5400","2430"
"South End","2019","2800","2999","3600","4450","5400","2800"
"South End","2020","2105","2500","3200","3900","5600","2105"
"South End","2021","1750","2250","2700","3500",,"1750"
"South End","2022","2906","3200","3800","4500","5850","2906.5"
"South End","2023","2600","3200","4200","5000",,"2600"
"South End","2024","2744","3210","4000","5100",,"2744"
"West End","2016","2230","2625","3620","4755",,"2230"
"West End","2018","2202","2675","3262","4600","4225","2202"
"West End","2019","2145","2770","3300","4335",,"2145"
"West End","2020","2000","2650","3050","3936",,"2000"
"West End","2021","1962","2350","2950",,,"1962.5"
"West End","2022","2150","3040","3000","3975",,"2150"
"West End","2023","2325","2895","3200","4200",,"2325"
"West End","2024","2450","3000","3200",,,"2450"
"West Roxbury","2016","1465","1750","1995","2500","2800","1465"
"West Roxbury","2018","1525","2270","2250","2500","2895","1525"
"West Roxbury","2019","1495","1995","2200","2600","3000","1495"
"West Roxbury","2020","1695","1700","2200","2595","2875","1695"
"West Roxbury","2021","1350","1650","2050","2750","2745","1350"
"West Roxbury","2022","1575","2300","2500","3000","3495","1575"
"West Roxbury","2023","2000","2000","2500","3200","4675","2000"
"West Roxbury","2024",,"2274","2700","3298","3850",
