"Topic: Commute Mode",,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,
"Year(s): 1990, 2000, 2010, 2020, 2025",,,,,,,,
,,,,,,,,
"Source: U.S. Census Bureau, 1990-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,,,
"Download type: geographically disaggregated",,,,,,,,
,,,,,,,,
"GEOID","YEAR","Car, truck, or van - drove alone","Car, truck, or van - carpooled","Public transit","Walked","Taxi, motorcycle, bike, other","Worked from home","Share of commuters (16+) taking public transit"
"Roslindale","2025","8308","825","3133","541","575","3305","0.234105876690966"
"Roxbury","1990","5482","2013","6146","941","350","206","0.41159924993303"
"Roxbury","2000","5660","2109","5311","907","351","289","0.370414283721579"
"Roxbury","2010","6606","1027","7286","2182","452","439","0.415085740329288"
"Roxbury","2020","8333","1561","8016","2462","1235","1720","0.370981505150946"
"Roxbury","2025","9320","2013","8290","2652","1612","2339","0.34707247689449"
"South Boston","1990","5482","1595","4289","1522","269","152","0.32598616705936"
"South Boston","2000","6863","1269","4784","1235","261","183","0.331945600888149"
"South Boston","2010","8436","1436","7054","1823","356","615","0.369222716566344"
"South Boston","2020","9420","862","7904","2387","806","6508","0.369858505687206"
"South Boston","2025","9531","901","7462","2583","892","7795","0.349186708209496"
"South Boston Waterfront","1990","85","21","48","32","10","8","0.244897959183673"
"South Boston Waterfront","2000","92","31","63","46","21","9","0.24901185770751"
"South Boston Waterfront","2010","439","68","379","237","45","92","0.324486301369863"
"South Boston Waterfront","2020","1314","143","494","1740","182","1323","0.127509867546421"
"South Boston Waterfront","2025","1521","150","610","2354","193","1769","0.126298333014651"
"South End","1990","3417","1389","4104","4228","431","449","0.302454123369445"
"South End","2000","4220","567","4443","3456","398","588","0.339575053500459"
"South End","2010","4101","536","4999","5025","511","599","0.329488531505405"
"South End","2020","4085","590","3726","5776","1028","3641","0.24506064670037"
"South End","2025","4141","783","3554","6061","1201","4733","0.225808634695068"
"West End","1990","427","47","474","1210","98","46","0.210106382978723"
"West End","2000","570","93","517","1126","30","78","0.221318493150685"
"West End","2010","570","42","686","1297","201","98","0.245350500715308"
"West End","2020","788","17","938","1957","218","1401","0.239431907530323"
"West End","2025","538","6","1119","2246","259","1926","0.268410983940187"
"West Roxbury","1990","10393","1606","2401","389","120","272","0.161043664900396"
"West Roxbury","2000","9567","1439","2313","325","70","332","0.168659763745078"
"West Roxbury","2010","11331","1338","2332","279","126","552","0.151369596261197"
"West Roxbury","2020","9374","1048","2438","200","284","3319","0.182720865964218"
"West Roxbury","2025","9575","1031","2131","308","209","3661","0.160817074269065"
