"Topic: Race and Ethnicity",,,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,,,,,,
"Note: In 1950 and 1960, the only race/ethnicity categories on the Census were White, Black, and Other. Two or more races became an option in 2000.",,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,,,,
"Download type: geographically disaggregated",,,,,,,,,
,,,,,,,,,
"GEOID","YEAR","White","Black/African American","Hispanic/Latino","Asian/Pacific Islander","American Indian","Two or More","Other","Non-white share of population"
"East Boston","2025","17228","1589","23473","2147","48","1678","730","0.632611579463513"
"Fenway","1950","25177","434","0","0","0","0","181","0.0238446029776675"
"Fenway","1960","22353","641","0","0","0","0","404","0.0446619369176853"
"Fenway","1970","25373","1218","314","600","56","0","122","0.0834447133619911"
"Fenway","1980","21158","2435","1354","1083","46","0","538","0.205004884647178"
"Fenway","1990","21450","2630","2289","2941","75","0","312","0.277704818668552"
"Fenway","2000","20876","1720","2269","4255","60","835","141","0.307733121103595"
"Fenway","2010","22066","1664","2754","6382","52","947","112","0.35056067339671"
"Fenway","2020","21586","2458","3868","10042","47","1723","412","0.46216883932074"
"Fenway","2025","22713","2525","4018","10823","44","1801","427","0.463700353454876"
"Hyde Park","1950","26078","29","0","0","0","0","21","0.00191365584813227"
"Hyde Park","1960","29604","53","0","0","0","0","44","0.00326588330359247"
"Hyde Park","1970","34888","352","198","98","14","0","13","0.0189804009785451"
"Hyde Park","1980","25186","4198","593","160","39","0","182","0.170366954344818"
"Hyde Park","1990","21386","7075","1522","343","75","0","62","0.297968026786594"
"Hyde Park","2000","13445","12718","4157","484","72","991","143","0.579975007810059"
"Hyde Park","2010","9128","15111","6507","535","85","689","262","0.717548039731411"
"Hyde Park","2020","7624","15622","8311","735","56","1438","363","0.776734093286756"
"Hyde Park","2025","7631","15345","7985","718","57","1378","355","0.771986697848648"
"Jamaica Plain","1950","52427","364","0","0","0","0","34","0.00753431140558448"
"Jamaica Plain","1960","49413","1549","0","0","0","0","173","0.0336755646817248"
"Jamaica Plain","1970","37282","5283","2438","280","81","0","201","0.181784264237902"
"Jamaica Plain","1980","22839","6168","7853","482","93","0","395","0.396272799365583"
"Jamaica Plain","1990","19466","6803","10857","1356","87","0","152","0.4972753802846"
"Jamaica Plain","2000","17241","6191","10596","1489","87","981","155","0.530729450190528"
"Jamaica Plain","2010","18764","5150","9569","1689","73","913","200","0.483910006050938"
"Jamaica Plain","2020","22230","4706","9072","3228","47","2085","314","0.466687867366296"
"Jamaica Plain","2025","23028","4866","9262","3325","50","2101","317","0.463836204710074"
"Longwood","1950","2560","22","0","0","0","0","11","0.0127265715387582"
"Longwood","1960","2540","1140","0","0","0","0","45","0.318120805369128"
"Longwood","1970","2884","827","25","25","2","0","10","0.235621521335807"
"Longwood","1980","2113","735","184","46","8","0","19","0.319484702093398"
"Longwood","1990","1774","521","202","92","6","0","9","0.318740399385561"
"Longwood","2000","2446","506","530","315","6","86","19","0.37410440122825"
"Longwood","2010","3381","377","457","481","3","143","19","0.304464102036618"
"Longwood","2020","3799","346","512","644","4","160","20","0.307424441035146"
"Longwood","2025","3833","352","527","653","4","162","21","0.309803128504854"
"Mattapan","1950","23781","43","0","0","0","0","21","0.00268400083875026"
"Mattapan","1960","24308","66","0","0","0","0","34","0.00409701737135365"
"Mattapan","1970","20037","4906","493","167","30","0","80","0.220744370551861"
"Mattapan","1980","5805","15933","702","65","82","0","241","0.745707026458735"
"Mattapan","1990","3363","19205","1094","218","73","0","85","0.860096513853066"
"Mattapan","2000","1735","19037","1798","386","72","1158","114","0.928600823045267"
"Mattapan","2010","1434","17179","2722","386","59","558","162","0.936266666666667"
"Mattapan","2020","1489","16277","4083","491","54","1222","224","0.937541946366934"
"Mattapan","2025","1539","16738","4122","499","56","1245","226","0.936980044752905"
"Mission Hill","1950","20587","248","0","0","0","0","31","0.0133710342183456"
"Mission Hill","1960","16472","1194","0","0","0","0","187","0.0773539461154988"
"Mission Hill","1970","11730","2581","875","326","18","0","90","0.249039692701665"
"Mission Hill","1980","7024","3125","2227","502","56","0","288","0.468764180910604"
"Mission Hill","1990","6077","3747","3465","1325","54","0","85","0.588083779570257"
"Mission Hill","2000","6264","2548","2292","2014","52","436","106","0.543173862310385"
"Mission Hill","2010","7523","2469","3070","2391","48","345","45","0.526587376502423"
"Mission Hill","2020","7183","2574","3575","4610","27","633","199","0.617966122336719"
"Mission Hill","2025","7430","2523","3483","4707","26","636","197","0.608942721982234"
"North End","1950","16271","56","0","0","0","0","19","0.00458827847791509"
"North End","1960","11915","15","0","0","0","0","7","0.00184300913127251"
"North End","1970","9876","9","502","14","2","0","12","0.0517522803648584"
"North End","1980","9093","113","163","29","6","0","40","0.0371664548919949"
"North End","1990","8802","56","249","119","10","0","2","0.0471963628491015"
"North End","2000","8833","91","234","216","9","97","7","0.0689364393380415"
"North End","2010","9140","131","383","340","15","99","30","0.0984415072006313"
"North End","2020","9510","145","542","456","7","342","47","0.139322545555039"
"North End","2025","9171","142","507","441","7","323","45","0.137651060582066"
"Roslindale","1950","32110","47","0","0","0","0","16","0.00195816367761788"
"Roslindale","1960","32731","115","0","0","0","0","52","0.00507629643139401"
"Roslindale","1970","33795","233","109","116","16","0","40","0.014981491736862"
"Roslindale","1980","27450","577","829","257","12","0","190","0.0636193075217465"
"Roslindale","1990","23685","1578","2800","631","32","0","35","0.17648899551476"
"Roslindale","2000","17888","4711","5598","872","55","971","142","0.408406918675795"
"Roslindale","2010","14185","5746","6828","826","68","627","189","0.501738733359092"
"Roslindale","2020","14025","5823","7285","990","25","1262","263","0.527344822633594"
"Roslindale","2025","14015","5757","7131","977","27","1215","255","0.522930373599602"
"Roxbury","1950","75387","27112","0","0","0","0","253","0.266320850202429"
"Roxbury","1960","32854","39792","0","0","0","0","565","0.551242299654424"
"Roxbury","1970","8089","38240","3599","148","233","0","376","0.8404064318832"
"Roxbury","1980","2955","34274","5036","153","152","0","1056","0.932265162976207"
"Roxbury","1990","2765","31879","7744","223","180","0","1303","0.937293055744546"
"Roxbury","2000","3136","26009","9469","435","179","1835","1511","0.926340019730352"
"Roxbury","2010","6072","25302","13568","1184","196","1496","1534","0.87696547252391"
"Roxbury","2020","7516","22940","16965","3495","102","3758","1151","0.865619764204159"
"Roxbury","2025","7733","23362","17033","3602","104","3803","1163","0.863847534451696"
"South Boston","1950","54915","42","0","0","0","0","22","0.00116408083086269"
"South Boston","1960","43426","68","0","0","0","0","53","0.00277860702229775"
"South Boston","1970","37153","386","329","152","48","0","77","0.0260060296238039"
"South Boston","1980","29665","15","159","142","63","0","81","0.0152697095435685"
"South Boston","1990","27807","261","424","511","90","0","17","0.0447612504294057"
"South Boston","2000","24934","734","2224","1139","78","359","39","0.154980174195954"
"South Boston","2010","24938","1536","3237","1528","34","378","133","0.215391391895293"
"South Boston","2020","30588","1631","4144","2179","39","1110","202","0.233260266346466"
"South Boston","2025","31456","1644","4173","2274","40","1112","205","0.230970356408297"
"South Boston Waterfront","1950","673","0","0","0","0","0","0","0"
"South Boston Waterfront","1960","397","0","0","0","0","0","1","0.00251256281407035"
"South Boston Waterfront","1970","279","2","0","0","1","0","7","0.0346020761245675"
"South Boston Waterfront","1980","190","0","1","0","1","0","1","0.0155440414507772"
"South Boston Waterfront","1990","264","2","6","11","1","0","0","0.0704225352112676"
"South Boston Waterfront","2000","382","7","11","22","1","8","0","0.11368909512761"
