"Topic: Number of Home Loans",,,,,
"Geographic Extent: City of Boston",,,,,
"Year(s): 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",,,,,
"Note: All originated loans for single- and multi-family properties are included.",,,,,
"Source: Consumer Financial Protection Bureau, Home Mortgage Disclosure Act 2007-2022; City of Boston Planning Department Research Division Analysis",,,,,
"Download type: geographically disaggregated",,,,,
,,,,,
"GEOID","YEAR","Home purchase","Home improvement","Refinancing","Total home purchase loans"
"Fenway","2019","102","7","103","102"
"Fenway","2020","70","8","210","70"
"Fenway","2021","140","5","205","140"
"Fenway","2022","90","7","53","90"
"Hyde Park","2007","358","119","601","358"
"Hyde Park","2008","299","57","315","299"
"Hyde Park","2009","273","35","439","273"
"Hyde Park","2010","239","39","376","239"
"Hyde Park","2011","215","42","388","215"
"Hyde Park","2012","270","62","579","270"
"Hyde Park","2013","266","73","506","266"
"Hyde Park","2014","221","54","260","221"
"Hyde Park","2015","239","88","397","239"
"Hyde Park","2016","280","78","486","280"
"Hyde Park","2017","267","86","365","267"
"Hyde Park","2018","304","92","334","304"
"Hyde Park","2019","274","86","513","274"
"Hyde Park","2020","264","58","953","264"
"Hyde Park","2021","320","78","1020","320"
"Hyde Park","2022","294","97","325","294"
"Jamaica Plain","2007","664","84","443","664"
"Jamaica Plain","2008","439","34","390","439"
"Jamaica Plain","2009","452","23","921","452"
"Jamaica Plain","2010","404","29","924","404"
"Jamaica Plain","2011","352","74","839","352"
"Jamaica Plain","2012","450","73","1247","450"
"Jamaica Plain","2013","491","90","851","491"
"Jamaica Plain","2014","494","96","297","494"
"Jamaica Plain","2015","508","95","471","508"
"Jamaica Plain","2016","506","87","581","506"
"Jamaica Plain","2017","473","80","298","473"
"Jamaica Plain","2018","507","100","268","507"
"Jamaica Plain","2019","451","77","508","451"
"Jamaica Plain","2020","589","48","1233","589"
"Jamaica Plain","2021","628","77","992","628"
"Jamaica Plain","2022","490","85","225","490"
"Longwood","2007","9","1","4","9"
"Longwood","2008","4","0","6","4"
"Longwood","2009","4","0","7","4"
"Longwood","2010","4","0","5","4"
"Longwood","2011","6","0","6","6"
"Longwood","2012","7","0","7","7"
"Longwood","2013","6","1","12","6"
"Longwood","2014","3","0","3","3"
"Longwood","2015","1","0","4","1"
"Longwood","2016","1","0","2","1"
"Longwood","2017","1","0","2","1"
"Longwood","2018","2","0","1","2"
"Longwood","2019","1","0","4","1"
"Longwood","2020","0","0","4","0"
"Longwood","2021","6","0","4","6"
"Longwood","2022","2","0","3","2"
"Mattapan","2007","183","64","324","183"
"Mattapan","2008","125","38","135","125"
"Mattapan","2009","108","15","158","108"
"Mattapan","2010","103","22","136","103"
"Mattapan","2011","78","15","138","78"
"Mattapan","2012","64","19","177","64"
"Mattapan","2013","109","25","198","109"
"Mattapan","2014","109","21","139","109"
"Mattapan","2015","115","22","165","115"
"Mattapan","2016","158","28","222","158"
"Mattapan","2017","137","53","175","137"
"Mattapan","2018","185","46","152","185"
"Mattapan","2019","148","38","261","148"
"Mattapan","2020","110","25","411","110"
"Mattapan","2021","143","45","486","143"
"Mattapan","2022","127","39","161","127"
"Mission Hill","2007","98","26","71","98"
"Mission Hill","2008","55","1","59","55"
"Mission Hill","2009","45","11","88","45"
"Mission Hill","2010","69","2","88","69"
"Mission Hill","2011","51","10","114","51"
"Mission Hill","2012","69","6","162","69"
"Mission Hill","2013","52","8","112","52"
"Mission Hill","2014","62","8","52","62"
"Mission Hill","2015","49","10","59","49"
"Mission Hill","2016","78","13","64","78"
"Mission Hill","2017","93","9","32","93"
"Mission Hill","2018","43","7","52","43"
"Mission Hill","2019","45","5","62","45"
"Mission Hill","2020","55","10","127","55"
"Mission Hill","2021","58","5","120","58"
"Mission Hill","2022","57","1","35","57"
"North End","2007","176","26","150","176"
"North End","2008","145","11","162","145"
"North End","2009","104","6","295","104"
"North End","2010","108","11","230","108"
"North End","2011","95","15","243","95"
"North End","2012","136","12","347","136"
"North End","2013","148","7","228","148"
"North End","2014","123","9","95","123"
"North End","2015","147","11","112","147"
"North End","2016","135","17","140","135"
"North End","2017","116","12","66","116"
"North End","2018","119","16","63","119"
"North End","2019","108","16","111","108"
"North End","2020","132","9","259","132"
"North End","2021","161","10","242","161"
"North End","2022","112","22","67","112"
"Roslindale","2007","404","118","399","404"
"Roslindale","2008","261","39","320","261"
"Roslindale","2009","306","33","654","306"
"Roslindale","2010","258","32","604","258"
"Roslindale","2011","228","63","595","228"
"Roslindale","2012","258","80","799","258"
"Roslindale","2013","340","90","616","340"
"Roslindale","2014","365","82","263","365"
"Roslindale","2015","363","89","459","363"
"Roslindale","2016","366","96","512","366"
"Roslindale","2017","339","85","265","339"
"Roslindale","2018","404","101","252","404"
"Roslindale","2019","376","84","500","376"
"Roslindale","2020","380","57","1105","380"
"Roslindale","2021","494","70","974","494"
"Roslindale","2022","364","95","232","364"
"Roxbury","2007","383","66","361","383"
"Roxbury","2008","235","34","195","235"
"Roxbury","2009","209","16","275","209"
"Roxbury","2010","217","9","235","217"
"Roxbury","2011","158","21","224","158"
"Roxbury","2012","178","30","346","178"
"Roxbury","2013","208","32","349","208"
"Roxbury","2014","173","45","185","173"
"Roxbury","2015","232","50","256","232"
