"Topic: Housing Tenure",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Owner-occupied","Renter-occupied","Owner occupancy rate"
"Mattapan","1970","3278","5002","0.395893719806763"
"Mattapan","1980","3072","4516","0.404849762783342"
"Mattapan","1990","3172","4573","0.409554551323434"
"Mattapan","2000","3401","4934","0.408038392321536"
"Mattapan","2010","3320","5029","0.39765241346269"
"Mattapan","2020","3509","5313","0.397755610972569"
"Mattapan","2025","4285","4887","0.467163974504475"
"Mission Hill","1950","677","4781","0.124038109197508"
"Mission Hill","1960","745","4585","0.139774859287054"
"Mission Hill","1970","472","4940","0.0872135994087214"
"Mission Hill","1980","444","4496","0.0898785425101215"
"Mission Hill","1990","609","4991","0.10875"
"Mission Hill","2000","613","4842","0.11237396883593"
"Mission Hill","2010","653","5472","0.106612244897959"
"Mission Hill","2020","656","6012","0.098380323935213"
"Mission Hill","2025","694","6220","0.10041370937009"
"North End","1950","432","4094","0.0954485196641626"
"North End","1960","445","3589","0.110312345066931"
"North End","1970","564","3486","0.139259259259259"
"North End","1980","695","4023","0.147308181432811"
"North End","1990","1233","4236","0.225452550740538"
"North End","2000","1491","4356","0.255002565418163"
"North End","2010","1551","4514","0.255729596042869"
"North End","2020","1545","4769","0.244694330060184"
"North End","2025","1615","4671","0.256898491172056"
"Roslindale","1950","4588","3871","0.542380896087008"
"Roslindale","1960","5301","3898","0.576258288944451"
"Roslindale","1970","5568","4940","0.529881994670727"
"Roslindale","1980","5306","5114","0.509213051823416"
"Roslindale","1990","5490","5190","0.514044943820225"
"Roslindale","2000","5675","5643","0.50141367732815"
"Roslindale","2010","5794","5479","0.513971436174931"
"Roslindale","2020","6081","5601","0.520544427324088"
"Roslindale","2025","7044","4825","0.593471987996878"
"Roxbury","1950","4236","23874","0.150693703308431"
"Roxbury","1960","4127","18899","0.179232172326935"
"Roxbury","1970","3048","13247","0.187051242712488"
"Roxbury","1980","2535","13347","0.159614658103513"
"Roxbury","1990","3041","13188","0.187380614948549"
"Roxbury","2000","3267","12524","0.206890000633272"
"Roxbury","2010","3831","14349","0.210726072607261"
"Roxbury","2020","3871","16154","0.19330836454432"
"Roxbury","2025","5081","15665","0.244923217430082"
"South Boston","1950","3263","11361","0.22312636761488"
"South Boston","1960","3583","9959","0.264584256387535"
"South Boston","1970","3430","9825","0.258770275367786"
"South Boston","1980","3303","9203","0.264113225651687"
"South Boston","1990","3904","9028","0.30188679245283"
"South Boston","2000","4652","9160","0.336808572256009"
"South Boston","2010","6100","9158","0.399790273954647"
"South Boston","2020","6783","11178","0.37765157841991"
"South Boston","2025","8679","10175","0.460309872645029"
"South Boston Waterfront","1950","39","157","0.198979591836735"
"South Boston Waterfront","1960","35","95","0.269230769230769"
"South Boston Waterfront","1970","30","78","0.277777777777778"
"South Boston Waterfront","1980","20","63","0.240963855421687"
"South Boston Waterfront","1990","50","86","0.367647058823529"
"South Boston Waterfront","2000","90","128","0.412844036697248"
"South Boston Waterfront","2010","395","561","0.413179916317992"
"South Boston Waterfront","2020","720","2904","0.198675496688742"
"South Boston Waterfront","2025","1116","3566","0.238462302406027"
"South End","1950","1185","10123","0.104793066855324"
"South End","1960","1433","14057","0.0925112976113622"
"South End","1970","1023","7139","0.12533692722372"
"South End","1980","1491","8562","0.148313936138466"
"South End","1990","2556","8679","0.227503337783712"
"South End","2000","3826","8877","0.30118869558372"
"South End","2010","5338","9085","0.370103307217639"
"South End","2020","5669","10483","0.350978207033185"
"South End","2025","6913","10899","0.388107702840286"
"West End","1950","265","3524","0.0699392979678015"
"West End","1960","28","717","0.0375838926174497"
"West End","1970","43","1765","0.023783185840708"
"West End","1980","103","2193","0.0448606271777003"
"West End","1990","481","1652","0.225503984997656"
"West End","2000","739","1718","0.300773300773301"
"West End","2010","681","2201","0.236294240111034"
"West End","2020","749","3823","0.163823272090989"
"West End","2025","975","4039","0.194487220242756"
"West Roxbury","1950","5042","2224","0.693916873107625"
"West Roxbury","1960","6501","2043","0.760884831460674"
"West Roxbury","1970","6983","3623","0.658400905148029"
"West Roxbury","1980","7367","4688","0.611115719618416"
"West Roxbury","1990","7652","4753","0.616848045143087"
"West Roxbury","2000","7749","4334","0.641314243151535"
"West Roxbury","2010","8237","4723","0.635570987654321"
"West Roxbury","2020","8298","5092","0.619716206123973"
"West Roxbury","2025","9488","4429","0.681734039177544"
