"Topic: Vehicles Available",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1960-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","0 vehicles","1+ vehicles","Share of households with no vehicles available"
"Mission Hill","2025","3665","3249","0.530107610282606"
"North End","1960","2770","1264","0.686663361427863"
"North End","1970","2709","1377","0.662995594713656"
"North End","1980","2947","1753","0.627021276595745"
"North End","1990","3014","2461","0.550502283105023"
"North End","2000","3092","2755","0.528818197366171"
"North End","2010","3749","2421","0.607617504051864"
"North End","2020","3453","2861","0.546888360760577"
"North End","2025","3547","2739","0.564229294440587"
"Roslindale","1960","2256","6936","0.245430809399478"
"Roslindale","1970","2776","7721","0.264456511384205"
"Roslindale","1980","2598","7775","0.250457919598959"
"Roslindale","1990","2162","8466","0.203424915318028"
"Roslindale","2000","2170","9190","0.191021126760563"
"Roslindale","2010","2132","9098","0.189848619768477"
"Roslindale","2020","1538","10144","0.131677666981957"
"Roslindale","2025","1584","10285","0.13349256747375"
"Roxbury","1960","14041","8985","0.609788934248241"
"Roxbury","1970","10707","5538","0.659095106186519"
"Roxbury","1980","9096","6795","0.572399471398905"
"Roxbury","1990","8695","7507","0.536662140476484"
"Roxbury","2000","6772","8954","0.430624443596592"
"Roxbury","2010","8264","9482","0.465682407303054"
"Roxbury","2020","8521","11496","0.425535084933194"
"Roxbury","2025","9035","11712","0.435486964851136"
"South Boston","1960","8023","5520","0.592409362770435"
"South Boston","1970","7545","5770","0.566654149455501"
"South Boston","1980","6667","5840","0.533061485568082"
"South Boston","1990","5379","7545","0.416202414113278"
"South Boston","2000","4419","9397","0.319846554719166"
"South Boston","2010","4341","10774","0.287198147535561"
"South Boston","2020","4557","13404","0.253700575691777"
"South Boston","2025","5112","13742","0.271133831054"
"South Boston Waterfront","1960","77","52","0.596899224806202"
"South Boston Waterfront","1970","80","30","0.727272727272727"
"South Boston Waterfront","1980","49","33","0.597560975609756"
"South Boston Waterfront","1990","44","99","0.307692307692308"
"South Boston Waterfront","2000","68","146","0.317757009345794"
"South Boston Waterfront","2010","284","623","0.313120176405733"
"South Boston Waterfront","2020","1558","2057","0.429977718468475"
"South Boston Waterfront","2025","2039","2643","0.435509092334255"
"South End","1960","12067","3424","0.778968433283842"
"South End","1970","5915","2220","0.727105101413645"
"South End","1980","5566","4486","0.553720652606446"
"South End","1990","5479","5784","0.486460090562017"
"South End","2000","5186","7517","0.40825001968039"
"South End","2010","6245","8256","0.430659954485898"
"South End","2020","6125","10027","0.379222434843019"
"South End","2025","6703","11109","0.376317180905374"
"West End","1960","584","161","0.783892617449664"
"West End","1970","1018","783","0.565241532481955"
"West End","1980","1165","1131","0.507404181184669"
"West End","1990","1100","1032","0.515947467166979"
"West End","2000","1261","1196","0.513227513227513"
"West End","2010","1401","1461","0.489517819706499"
"West End","2020","2708","1864","0.592243904199475"
"West End","2025","3217","1797","0.641650431629166"
"West Roxbury","1960","1352","7191","0.158258223106637"
"West Roxbury","1970","1676","8929","0.158038661008958"
"West Roxbury","1980","1961","10152","0.161892181953273"
"West Roxbury","1990","1821","10637","0.146171135013646"
"West Roxbury","2000","1660","10380","0.137873754152824"
"West Roxbury","2010","1330","11358","0.104823455233291"
"West Roxbury","2020","1523","11867","0.11371625832711"
"West Roxbury","2025","1495","12422","0.107402926732808"
