"Topic: Nativity",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Native-born","Foreign-born","Foreign-born share of population"
"Mattapan","1960","19820","4588","0.187971156997706"
"Mattapan","1970","21261","4412","0.171853698438048"
"Mattapan","1980","18876","3954","0.173193166885677"
"Mattapan","1990","17116","6923","0.287990349016182"
"Mattapan","2000","16630","7670","0.315637860082305"
"Mattapan","2010","15059","8524","0.361446804901836"
"Mattapan","2020","14660","9180","0.385069714765101"
"Mattapan","2025","15170","9254","0.378898768096954"
"Mission Hill","1950","17015","3573","0.173547697687974"
"Mission Hill","1960","14698","3155","0.176720999271831"
"Mission Hill","1970","13833","2067","0.13"
"Mission Hill","1980","10677","2501","0.189786006981333"
"Mission Hill","1990","11724","3039","0.205852469010364"
"Mission Hill","2000","9486","4227","0.30824764821702"
"Mission Hill","2010","11214","3611","0.243575042158516"
"Mission Hill","2020","13423","5378","0.286059897687917"
"Mission Hill","2025","13280","5720","0.301066721052632"
"North End","1950","11458","4813","0.295802347735234"
"North End","1960","8141","3795","0.317945710455764"
"North End","1970","6992","3356","0.324313877077696"
"North End","1980","7493","1901","0.202363210559932"
"North End","1990","7691","1536","0.166467974422889"
"North End","2000","8331","1156","0.121850953936966"
"North End","2010","9480","1241","0.115754127413488"
"North End","2020","9674","1375","0.124452670430297"
"North End","2025","9471","1164","0.109448921485661"
"Roslindale","1950","26519","5591","0.174120211772034"
"Roslindale","1960","28288","4610","0.14013009909417"
"Roslindale","1970","29114","5170","0.150799206626998"
"Roslindale","1980","24116","5193","0.177181070660889"
"Roslindale","1990","23654","5095","0.177223555601934"
"Roslindale","2000","22636","7691","0.253602400501204"
"Roslindale","2010","22078","7764","0.260170229877354"
"Roslindale","2020","22334","7338","0.247308685609943"
"Roslindale","2025","22115","7263","0.247222335761454"
"Roxbury","1950","59905","15483","0.205377513662652"
"Roxbury","1960","63905","9307","0.127123968748293"
"Roxbury","1970","46233","4104","0.0815304845342392"
"Roxbury","1980","39013","4646","0.106415630225154"
"Roxbury","1990","37763","6332","0.143599047511056"
"Roxbury","2000","34111","8356","0.196764546589116"
"Roxbury","2010","35781","10919","0.233811563169165"
"Roxbury","2020","41871","14057","0.251342348683952"
"Roxbury","2025","41829","14971","0.263570629496479"
"South Boston","1950","46484","8431","0.153528179914413"
"South Boston","1960","37672","5874","0.134891838515593"
"South Boston","1970","34946","3615","0.0937475687871165"
"South Boston","1980","27795","2309","0.0767007706617061"
"South Boston","1990","26991","2095","0.0720277796878223"
"South Boston","2000","25870","3663","0.124030745268005"
"South Boston","2010","28774","3916","0.119791985316611"
"South Boston","2020","35253","4640","0.116317547057824"
"South Boston","2025","36121","4783","0.116942515377469"
"South Boston Waterfront","1950","528","145","0.215453194650817"
"South Boston Waterfront","1960","344","54","0.135678391959799"
"South Boston Waterfront","1970","246","35","0.124555160142349"
"South Boston Waterfront","1980","182","12","0.0618556701030928"
"South Boston Waterfront","1990","287","22","0.0711974110032362"
"South Boston Waterfront","2000","351","54","0.133333333333333"
"South Boston Waterfront","2010","1434","204","0.124542124542125"
"South Boston Waterfront","2020","5056","1173","0.188300382497445"
"South Boston Waterfront","2025","6549","1740","0.209862038846664"
"South End","1950","27522","9122","0.248935705708984"
"South End","1960","23206","6135","0.209093077945537"
"South End","1970","16982","3274","0.16163112164297"
"South End","1980","17690","4639","0.207756728917551"
"South End","1990","19172","4742","0.198293886426361"
"South End","2000","19316","4889","0.201983061350961"
"South End","2010","22017","6685","0.23291059856456"
"South End","2020","25193","7402","0.227081390916335"
"South End","2025","26118","8464","0.244752877855532"
"West End","1950","9420","3338","0.261639755447562"
"West End","1960","1581","401","0.202320887991927"
"West End","1970","2835","426","0.130634774609016"
"West End","1980","3777","576","0.132322536181943"
"West End","1990","3064","587","0.160777869076965"
"West End","2000","3770","934","0.198554421768707"
"West End","2010","4131","1061","0.204352850539291"
"West End","2020","6578","2142","0.245650972953313"
"West End","2025","6887","2419","0.259964719535783"
"West Roxbury","1950","23467","3583","0.132458410351201"
"West Roxbury","1960","26397","3398","0.114045980869273"
"West Roxbury","1970","29735","4473","0.130758886810103"
"West Roxbury","1980","27533","3816","0.121726370857125"
"West Roxbury","1990","26002","3714","0.124983174047651"
"West Roxbury","2000","23734","4929","0.171963855842026"
"West Roxbury","2010","24383","6146","0.201316780765829"
"West Roxbury","2020","23689","8094","0.254664322816231"
"West Roxbury","2025","24141","7240","0.230711925655651"
