"Topic: Children by Age",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1980-2020 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020, 2024, and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","0-4 years","5-17 years","Share of population that are children (0-17)"
"Roxbury","2010","3320","8541","0.240334738207165"
"Roxbury","2020","2971","8410","0.203492774505415"
"Roxbury","2024","2908","7594","0.185866237190946"
"Roxbury","2025","2901","7647","0.185702610276898"
"South Boston","1980","1582","5177","0.224365145228216"
"South Boston","1990","1684","3627","0.182445894881484"
"South Boston","2000","1485","3894","0.182295726437794"
"South Boston","2010","1444","2969","0.138839075035394"
"South Boston","2020","1722","2581","0.107861733259766"
"South Boston","2024","1667","2241","0.0951476639154676"
"South Boston","2025","1617","2228","0.0940001271263098"
"South Boston Waterfront","1980","13","26","0.204188481675393"
"South Boston Waterfront","1990","15","22","0.130281690140845"
"South Boston Waterfront","2000","16","31","0.109048723897912"
"South Boston Waterfront","2010","50","52","0.053996823716252"
"South Boston Waterfront","2020","147","146","0.0470345629564198"
"South Boston Waterfront","2024","354","141","0.0603805806294218"
"South Boston Waterfront","2025","395","132","0.0635781211639743"
"South End","1980","989","2881","0.173255137216278"
"South End","1990","1065","2357","0.143090110809116"
"South End","2000","854","2077","0.121065675340768"
"South End","2010","1317","2050","0.123080859774821"
"South End","2020","1372","2217","0.110110090096722"
"South End","2024","1453","1984","0.0994876544996671"
"South End","2025","1441","1971","0.0986644879620526"
"West End","1980","80","172","0.0578778135048231"
"West End","1990","106","71","0.0484798685291701"
"West End","2000","162","185","0.0737670068027211"
"West End","2010","189","156","0.0636179236584916"
"West End","2020","293","314","0.0696048600438796"
"West End","2024","319","256","0.0622361727459682"
"West End","2025","308","246","0.0595314549970085"
"West Roxbury","1980","1319","4447","0.184023234289726"
"West Roxbury","1990","1685","3035","0.158890459839763"
"West Roxbury","2000","1918","3761","0.197509825061733"
"West Roxbury","2010","2138","4188","0.207784529479389"
"West Roxbury","2020","1813","4291","0.192056166546506"
"West Roxbury","2024","1606","3659","0.168701336153033"
"West Roxbury","2025","1598","3662","0.167617348076862"
