"Topic: Educational Attainment",,,,,,
"Geographic Extent: City of Boston",,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,,,
,,,,,,
"Source: U.S. Census Bureau, 1950-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,
"Download type: geographically disaggregated",,,,,,
,,,,,,
"GEOID","YEAR","Less than high school","High school or some equivalent","Some college","Bachelor's or more","Share of population (25+) with bachelor's or more"
"Hyde Park","2020","3054","6208","6800","8262","0.339665200347554"
"Hyde Park","2025","3103","6520","6725","8077","0.330703176813159"
"Jamaica Plain","1950","15941","10073","1897","2095","0.0698193694594414"
"Jamaica Plain","1960","17151","8791","2482","2225","0.072596169532448"
"Jamaica Plain","1970","13215","8241","2211","2617","0.0995662760614823"
"Jamaica Plain","1980","7835","7059","2728","5162","0.2265625"
"Jamaica Plain","1990","6384","5318","4694","9286","0.361576201230434"
"Jamaica Plain","2000","4891","4595","4694","11138","0.439924164625958"
"Jamaica Plain","2010","2690","3584","4085","16257","0.610798016230839"
"Jamaica Plain","2020","2727","3490","3529","21875","0.691796783840132"
"Jamaica Plain","2025","2753","3464","3921","23188","0.695785551500392"
"Longwood","1950","534","416","173","343","0.233969986357435"
"Longwood","1960","724","392","196","194","0.128818061088977"
"Longwood","1970","268","177","179","259","0.293318233295583"
"Longwood","1980","161","154","95","136","0.249084249084249"
"Longwood","1990","188","166","141","178","0.264487369985141"
"Longwood","2000","201","140","85","228","0.348623853211009"
"Longwood","2010","17","28","72","362","0.755741127348643"
"Longwood","2020","55","24","54","403","0.75223613902114"
"Longwood","2025","55","40","76","389","0.69515458090151"
"Mattapan","1950","7226","5141","1583","569","0.0391900268613541"
"Mattapan","1960","7108","5968","1286","1023","0.0664933376665583"
"Mattapan","1970","6632","6454","1354","1092","0.0703064640741695"
"Mattapan","1980","3505","5905","2066","1331","0.103927539626767"
"Mattapan","1990","3848","4720","4149","2071","0.140045983229646"
"Mattapan","2000","3478","4567","4212","2506","0.169748696064486"
"Mattapan","2010","3212","5895","4006","2390","0.154163710249629"
"Mattapan","2020","2420","4817","5046","4060","0.248420006150775"
