"Topic: Population",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates, 2030 and 2035 Research Division projections",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Male","Female","Population per square mile"
"Jamaica Plain","2025","19726","23223","12683.1084657259"
"Longwood","1950","981","1612","13240.7989570601"
"Longwood","1960","1283","2442","19021.2017412452"
"Longwood","1970","1197","2575","19261.2007967724"
"Longwood","1980","1009","2096","15855.2567534407"
"Longwood","1990","892","1711","13291.8625858957"
"Longwood","2000","1700","2208","19955.6661489359"
"Longwood","2010","1657","3204","24822.0299769646"
"Longwood","2020","1938","3548","28011.6558094498"
"Longwood","2024","1971","3590","28396.4839954536"
"Longwood","2025","1965","3588","28355.6330923852"
"Mattapan","1950","11658","12189","8737.39351381346"
"Mattapan","1960","11887","12522","8943.30684273379"
"Mattapan","1970","11909","13805","9421.45078266445"
"Mattapan","1980","10597","12231","8364.03820746147"
"Mattapan","1990","11441","12597","8807.37473414047"
"Mattapan","2000","11129","13171","8903.36991595031"
"Mattapan","2010","10261","12239","8243.86103328732"
"Mattapan","2020","10668","13172","8734.82875384716"
"Mattapan","2024","10768","13418","8861.60102004832"
"Mattapan","2025","10879","13545","8948.80274681053"
"Mission Hill","1950","8979","11887","34688.2684708264"
"Mission Hill","1960","7494","10359","29679.3662901209"
"Mission Hill","1970","6672","8948","25967.1596623362"
"Mission Hill","1980","5881","7340","21978.9896220069"
"Mission Hill","1990","7122","7632","24527.495112555"
"Mission Hill","2000","6761","6951","22795.2428482685"
"Mission Hill","2010","7895","7996","26417.6782454664"
"Mission Hill","2020","9114","9688","31256.0475553186"
"Mission Hill","2024","9224","9766","31569.5494230323"
"Mission Hill","2025","9198","9802","31586.1737249928"
"North End","1950","8644","7703","86053.0594836891"
"North End","1960","6001","5935","62832.8939864999"
"North End","1970","5120","5295","54826.121889192"
"North End","1980","4655","4789","49714.6322728305"
"North End","1990","4131","5106","48624.9532300016"
"North End","2000","4443","5045","49946.2548713062"
"North End","2010","4789","5349","53367.9523487882"
"North End","2020","5042","6007","58163.591377455"
"North End","2024","4885","5770","56089.5178808777"
"North End","2025","4865","5770","55984.2559381704"
"Roslindale","1950","15233","16940","14699.0772964789"
"Roslindale","1960","15570","17327","15029.8556498389"
"Roslindale","1970","15926","18382","15674.5079379479"
"Roslindale","1980","13497","15819","13393.7820540072"
"Roslindale","1990","13442","15318","13139.7588986645"
"Roslindale","2000","14135","16101","13814.1081383873"
"Roslindale","2010","13099","15369","13006.3510544917"
"Roslindale","2020","13662","16010","13556.6370237056"
"Roslindale","2024","13361","15832","13337.5862840303"
"Roslindale","2025","13434","15944","13422.1181024154"
"Roxbury","1950","49245","53508","29655.7707813539"
"Roxbury","1960","34181","39031","21129.8773801688"
"Roxbury","1970","22839","27845","14628.0214327771"
"Roxbury","1980","19558","24069","12591.2850415864"
"Roxbury","1990","20271","23824","12726.3555575389"
"Roxbury","2000","20174","22400","12287.3763806931"
"Roxbury","2010","23290","26062","14243.5899642967"
"Roxbury","2020","25698","30230","16141.6061408903"
"Roxbury","2024","25947","30556","16307.4559035633"
"Roxbury","2025","26031","30770","16393.3364988205"
"South Boston","1950","27178","27801","31083.2924943568"
"South Boston","1960","20815","22732","24620.0210671666"
"South Boston","1970","17654","20490","21565.3451118563"
"South Boston","1980","13874","16251","17031.670026601"
"South Boston","1990","13809","15301","16457.8228871156"
"South Boston","2000","13735","15772","16682.2734431508"
"South Boston","2010","14943","16842","17970.1786488137"
"South Boston","2020","18951","20942","22554.5481171808"
"South Boston","2024","19468","21605","23221.3040000858"
"South Boston","2025","19432","21472","23125.8701243474"
"South Boston Waterfront","1950","336","336","518.715641669172"
"South Boston Waterfront","1960","198","200","307.215513964778"
"South Boston Waterfront","1970","141","148","223.078601848796"
"South Boston Waterfront","1980","101","90","147.432570772042"
"South Boston Waterfront","1990","156","128","219.219110467329"
"South Boston Waterfront","2000","230","201","332.68815708246"
"South Boston Waterfront","2010","1065","824","1458.11584391825"
"South Boston Waterfront","2020","3180","3050","4808.51061246392"
"South Boston Waterfront","2024","4206","3992","6328.02206905338"
"South Boston Waterfront","2025","4248","4041","6398.27639560905"
"South End","1950","24378","21938","54801.0158856048"
"South End","1960","16083","13257","34715.0402902592"
"South End","1970","10856","9641","24252.0170698515"
"South End","1980","12475","9862","26429.1020778296"
"South End","1990","13448","10467","28296.1891118456"
