"Topic: Number of Small Business Loans",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,
"Note: A business is considered small if it has <$1M in annual revenue.",,,,
"Source: FFIEC, Community Reinvestment Act data, https://github.com/acforrester/community-reinvestment-act; City of Boston Planning Department Research Division analysis",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Loans to small businesses","Loans to large businesses","Share of small loans going to small businesses"
"South Boston","2017","434","574","0.430555555555556"
"South Boston","2018","340","718","0.321361058601134"
"South Boston","2019","394","683","0.365831012070566"
"South Boston","2020","381","963","0.283482142857143"
"South Boston","2021","498","820","0.377845220030349"
"South Boston","2022","350","458","0.433168316831683"
"South Boston","2023","429","443","0.49197247706422"
"South Boston","2024","410","533","0.434782608695652"
"South Boston Waterfront","1996","24","46","0.342857142857143"
"South Boston Waterfront","1997","17","44","0.278688524590164"
"South Boston Waterfront","1998","22","36","0.379310344827586"
"South Boston Waterfront","1999","19","30","0.387755102040816"
"South Boston Waterfront","2000","19","56","0.253333333333333"
"South Boston Waterfront","2001","31","62","0.333333333333333"
"South Boston Waterfront","2002","24","75","0.242424242424242"
"South Boston Waterfront","2003","30","88","0.254237288135593"
"South Boston Waterfront","2004","25","85","0.227272727272727"
"South Boston Waterfront","2005","29","60","0.325842696629214"
"South Boston Waterfront","2006","44","144","0.234042553191489"
"South Boston Waterfront","2007","47","138","0.254054054054054"
"South Boston Waterfront","2008","21","130","0.139072847682119"
"South Boston Waterfront","2009","10","58","0.147058823529412"
"South Boston Waterfront","2010","12","61","0.164383561643836"
"South Boston Waterfront","2011","24","67","0.263736263736264"
"South Boston Waterfront","2012","49","104","0.320261437908497"
"South Boston Waterfront","2013","61","100","0.37888198757764"
"South Boston Waterfront","2014","52","115","0.311377245508982"
"South Boston Waterfront","2015","70","120","0.368421052631579"
"South Boston Waterfront","2016","66","142","0.317307692307692"
"South Boston Waterfront","2017","75","136","0.355450236966825"
"South Boston Waterfront","2018","71","150","0.321266968325792"
"South Boston Waterfront","2019","63","164","0.277533039647577"
"South Boston Waterfront","2020","88","243","0.265861027190332"
"South Boston Waterfront","2021","102","214","0.322784810126582"
"South Boston Waterfront","2022","153","370","0.292543021032505"
"South Boston Waterfront","2023","153","335","0.313524590163934"
"South Boston Waterfront","2024","188","296","0.388429752066116"
"South End","1996","126","217","0.36734693877551"
"South End","1997","122","250","0.327956989247312"
"South End","1998","166","197","0.457300275482094"
"South End","1999","180","206","0.466321243523316"
"South End","2000","200","377","0.346620450606586"
"South End","2001","299","508","0.370508054522924"
"South End","2002","268","597","0.309826589595376"
"South End","2003","298","595","0.333706606942889"
"South End","2004","300","698","0.30060120240481"
"South End","2005","372","427","0.46558197747184"
"South End","2006","511","1235","0.292668957617411"
"South End","2007","553","1276","0.302351011481684"
"South End","2008","313","1107","0.220422535211268"
"South End","2009","131","523","0.200305810397554"
"South End","2010","146","535","0.2143906020558"
"South End","2011","337","398","0.458503401360544"
"South End","2012","349","453","0.435162094763092"
"South End","2013","412","359","0.534370946822309"
"South End","2014","352","492","0.417061611374408"
"South End","2015","402","463","0.464739884393064"
"South End","2016","511","547","0.482986767485822"
"South End","2017","559","504","0.525870178739417"
"South End","2018","430","648","0.398886827458256"
"South End","2019","454","657","0.408640864086409"
"South End","2020","530","926","0.364010989010989"
"South End","2021","628","843","0.426920462270564"
"South End","2022","469","651","0.41875"
"South End","2023","474","574","0.452290076335878"
"South End","2024","547","652","0.456213511259383"
"West End","1996","51","73","0.411290322580645"
"West End","1997","54","87","0.382978723404255"
"West End","1998","51","79","0.392307692307692"
"West End","1999","52","47","0.525252525252525"
"West End","2000","54","128","0.296703296703297"
"West End","2001","91","123","0.425233644859813"
"West End","2002","77","162","0.322175732217573"
"West End","2003","90","155","0.36734693877551"
"West End","2004","72","175","0.291497975708502"
"West End","2005","90","137","0.39647577092511"
"West End","2006","113","356","0.240938166311301"
"West End","2007","131","341","0.277542372881356"
"West End","2008","69","255","0.212962962962963"
"West End","2009","23","116","0.165467625899281"
"West End","2010","25","107","0.189393939393939"
"West End","2011","62","92","0.402597402597403"
"West End","2012","91","152","0.374485596707819"
"West End","2013","90","140","0.391304347826087"
"West End","2014","100","138","0.420168067226891"
"West End","2015","99","112","0.469194312796209"
"West End","2016","102","138","0.425"
"West End","2017","104","156","0.4"
"West End","2018","118","218","0.351190476190476"
"West End","2019","140","222","0.386740331491713"
"West End","2020","140","327","0.299785867237687"
"West End","2021","149","282","0.345707656612529"
"West End","2022","144","227","0.388140161725067"
"West End","2023","140","225","0.383561643835616"
"West End","2024","140","215","0.394366197183099"
"West Roxbury","1996","53","93","0.363013698630137"
"West Roxbury","1997","87","81","0.517857142857143"
"West Roxbury","1998","114","77","0.596858638743455"
"West Roxbury","1999","122","137","0.471042471042471"
"West Roxbury","2000","120","235","0.338028169014085"
"West Roxbury","2001","148","282","0.344186046511628"
"West Roxbury","2002","142","361","0.282306163021869"
"West Roxbury","2003","184","327","0.360078277886497"
"West Roxbury","2004","192","371","0.341030195381883"
"West Roxbury","2005","291","305","0.488255033557047"
"West Roxbury","2006","379","714","0.346752058554437"
"West Roxbury","2007","415","825","0.334677419354839"
"West Roxbury","2008","241","665","0.266004415011038"
"West Roxbury","2009","88","326","0.21256038647343"
"West Roxbury","2010","93","243","0.276785714285714"
"West Roxbury","2011","133","234","0.362397820163488"
"West Roxbury","2012","186","258","0.418918918918919"
"West Roxbury","2013","207","204","0.503649635036496"
"West Roxbury","2014","226","236","0.489177489177489"
"West Roxbury","2015","252","221","0.53276955602537"
"West Roxbury","2016","248","242","0.506122448979592"
"West Roxbury","2017","313","232","0.574311926605505"
"West Roxbury","2018","289","290","0.499136442141624"
"West Roxbury","2019","348","301","0.536209553158706"
"West Roxbury","2020","344","431","0.443870967741935"
"West Roxbury","2021","433","403","0.517942583732057"
"West Roxbury","2022","352","289","0.549141965678627"
"West Roxbury","2023","379","254","0.598736176935229"
"West Roxbury","2024","452","303","0.598675496688742"
