neighborhood,order
Allston/Brighton,"(3, 0, 1)"
Back Bay/Beacon Hill/Downtown/North End/West End,"(1, 0, 0)"
Charlestown,"(1, 0, 0)"
Dorchester,"(3, 0, 1)"
East Boston,"(1, 0, 2)"
Fenway,"(1, 0, 0)"
Hyde Park,"(1, 0, 3)"
Jamaica Plain,"(1, 0, 0)"
Mattapan,"(2, 0, 3)"
Roslindale,"(1, 0, 0)"
Roxbury,"(2, 0, 3)"
South Boston,"(1, 0, 0)"
South End,"(3, 0, 3)"
West Roxbury,"(2, 0, 1)"
